timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1714478321983,525,HTTP Request,200,,GETBYID 1-2,text,true,,253,130,7,7,http://4.153.124.128:8099/api/get/1,524,0,253
1714478321984,525,HTTP Request,200,,GETBYID 1-1,text,true,,253,130,7,7,http://4.153.124.128:8099/api/get/1,524,0,251
1714478322073,476,HTTP Request,200,,GETBYID 1-3,text,true,,253,130,5,5,http://4.153.124.128:8099/api/get/1,476,0,232
1714478322172,478,HTTP Request,200,,GETBYID 1-4,text,true,,253,130,5,5,http://4.153.124.128:8099/api/get/1,478,0,233
1714478322275,506,HTTP Request,200,,GETBYID 1-5,text,true,,253,130,6,6,http://4.153.124.128:8099/api/get/1,506,0,247
1714478322372,507,HTTP Request,200,,GETBYID 1-6,text,true,,253,130,5,5,http://4.153.124.128:8099/api/get/1,506,0,247
1714478322474,478,HTTP Request,200,,GETBYID 1-7,text,true,,253,130,4,4,http://4.153.124.128:8099/api/get/1,477,0,235
1714478322570,511,HTTP Request,200,,GETBYID 1-8,text,true,,253,130,3,3,http://4.153.124.128:8099/api/get/1,510,0,249
1714478322668,477,HTTP Request,200,,GETBYID 1-9,text,true,,253,130,2,2,http://4.153.124.128:8099/api/get/1,477,0,232
1714478322772,505,HTTP Request,200,,GETBYID 1-10,text,true,,253,130,1,1,http://4.153.124.128:8099/api/get/1,505,0,248
